Date,Open,High,Low,Close,Volume,DailyReturn,MA7,MA30,Volatility30,NextClose,NextDirectionUp
2023-02-13,106.55,107.49,105.73,106.65,371933,-0.025404368089189444,107.86285714285715,110.48133333333334,0.0251530530164059,107.66,1
2023-02-14,107.66,108.74,107.09,107.66,623690,0.009470229723394175,107.76428571428572,110.75466666666667,0.025139490934917994,107.52,0
2023-02-15,107.63,107.82,106.67,107.52,320481,-0.0013003901170350884,108.34857142857143,110.93499999999999,0.02474584834494265,109.87,1
2023-02-16,110.48,110.53,109.7,109.87,396098,0.021856398809523947,108.38142857142857,111.18666666666668,0.025009586386300086,109.18,0
2023-02-17,109.39,110.43,108.73,109.18,1024951,-0.006280149267315904,108.45714285714287,111.21733333333333,0.02275400513934563,105.48,0
2023-02-20,105.58,106.41,105.13,105.48,418258,-0.033888990657629625,107.97,110.99166666666666,0.02252445344772076,104.79,0
2023-02-21,104.81,104.81,104.57,104.79,518373,-0.006541524459613202,107.30714285714285,110.74166666666666,0.02253661084871531,103.16,0
2023-02-22,103.99,105.35,103.04,103.16,295931,-0.015554919362534725,106.80857142857143,110.44666666666667,0.022671119046824263,102.64,0
2023-02-23,102.4,103.68,101.44,102.64,755830,-0.005040713454827372,106.09142857142857,110.15533333333335,0.022668587413637708,100.5,0
2023-02-24,100.98,100.99,100.16,100.5,313833,-0.020849571317225313,105.08857142857143,109.74133333333334,0.022692927696846475,100.74,1
2023-02-27,99.95,101.1,99.8,100.74,336094,0.002388059701492473,103.78428571428572,109.33933333333333,0.022715112458339005,103.39,1
2023-02-28,103.02,103.61,102.29,103.39,354713,0.02630534048044475,102.95714285714284,108.96499999999999,0.023091242967590124,104.05,1
2023-03-01,104.22,104.86,104.0,104.05,310295,0.006383596092465416,102.75285714285715,108.604,0.023136864906632616,105.46,1
2023-03-02,105.4,106.48,104.6,105.46,257703,0.013551177318596785,102.84857142857142,108.23366666666668,0.023107136725255602,105.14,0
2023-03-03,106.4,107.0,104.81,105.14,399529,-0.003034325810733818,103.13142857142857,107.769,0.022635505587587427,101.82,0
2023-03-06,102.87,103.01,101.21,101.82,370464,-0.03157694502568009,103.01428571428572,107.35833333333333,0.022134876769860982,102.62,1
2023-03-07,102.0,103.95,101.46,102.62,429900,0.007857002553525838,103.31714285714285,106.98433333333334,0.022232723437680423,100.95,0
2023-03-08,100.52,102.0,100.42,100.95,304897,-0.01627363087117517,103.34714285714287,106.52066666666666,0.022233583296591076,100.45,0
2023-03-09,100.39,101.04,99.36,100.45,314457,-0.004952947003467045,102.92714285714285,105.99733333333333,0.022045433015225966,102.84,1
2023-03-10,103.55,104.03,102.75,102.84,394222,0.023792931806869033,102.75428571428571,105.57766666666666,0.02264215244840209,103.89,1
2023-03-13,104.36,104.64,103.87,103.89,445851,0.010210035005834284,102.53,105.31133333333334,0.022178242827141335,105.2,1
2023-03-14,105.34,106.63,104.4,105.2,310980,0.012609490807584889,102.53857142857144,105.133,0.022261206846045198,103.97,0
2023-03-15,103.38,104.15,103.18,103.97,439517,-0.01169201520912555,102.84571428571428,105.05666666666667,0.021216619207397078,103.9,0
2023-03-16,103.55,105.43,103.18,103.9,406767,-0.0006732711359045407,103.02857142857144,105.00866666666666,0.021160880808421014,103.3,0
2023-03-17,102.2,103.54,101.93,103.3,671092,-0.005774783445620879,103.36428571428571,104.84033333333333,0.020465730420325505,102.47,0
2023-03-20,101.84,103.13,101.81,102.47,569725,-0.008034849951597312,103.65285714285714,104.80833333333334,0.018760167005977893,103.23,1
2023-03-21,103.41,103.45,102.81,103.23,540943,0.00741680491851282,103.70857142857143,104.59466666666665,0.015027810408168118,100.59,0
2023-03-22,100.91,101.92,100.16,100.59,658571,-0.02557396105783205,103.23714285714286,104.32600000000001,0.015591594345580351,103.21,1
2023-03-23,102.68,103.24,101.87,103.21,348045,0.026046326672631404,102.95285714285714,104.13666666666667,0.016422369892904246,103.55,1
2023-03-24,103.59,103.69,103.33,103.55,752844,0.003294254432710142,102.89285714285714,103.94066666666667,0.01640205430865304,106.79,1
2023-03-27,107.49,107.65,106.48,106.79,478066,0.031289232254949395,103.30571428571429,103.94533333333334,0.016838023484345262,105.95,0
2023-03-28,106.02,106.39,105.93,105.95,367661,-0.007865905047289123,103.6842857142857,103.88833333333334,0.01680567885834846,108.01,1
2023-03-29,107.88,108.02,107.45,108.01,520458,0.019443133553562975,104.47571428571428,103.90466666666667,0.017189575473732583,109.15,1
2023-03-30,109.42,110.24,108.63,109.15,293488,0.010554578279788895,105.32142857142857,103.88066666666666,0.01682061530419851,109.24,1
2023-03-31,109.47,110.56,108.96,109.24,886540,0.0008245533669262173,106.55714285714286,103.88266666666667,0.01678030988894031,108.44,0
2023-04-03,108.48,108.75,108.38,108.44,491132,-0.007323324789454411,107.30428571428571,103.98133333333334,0.015579842986649139,107.72,0
2023-04-04,107.49,108.41,107.48,107.72,249178,-0.00663961637772037,107.9,104.079,0.015581499215255522,106.12,0
2023-04-05,105.95,106.51,105.32,106.12,287471,-0.014853323431117671,107.80428571428571,104.17766666666667,0.015556243671835798,106.02,0
2023-04-06,106.06,106.96,105.56,106.02,365270,-0.0009423294383716918,107.81428571428572,104.29033333333334,0.015518768971465705,107.55,1
2023-04-07,107.32,108.01,106.38,107.55,358186,0.014431239388794648,107.74857142857142,104.52533333333332,0.015122199020117131,109.46,1
2023-04-10,110.05,110.28,108.97,109.46,529980,0.017759181775918176,107.79285714285713,104.816,0.015380920111145932,110.07,1
2023-04-11,110.46,111.12,109.89,110.07,626288,0.0055728119861135905,107.91142857142856,105.03866666666667,0.014744961775076731,108.89,0
2023-04-12,109.36,110.27,108.84,108.89,660441,-0.010720450622331179,107.97571428571429,105.2,0.014907169740386104,108.22,0
2023-04-13,109.1,110.78,107.16,108.22,548873,-0.006152998438791468,108.04714285714284,105.29199999999999,0.014797217026616934,107.25,0
